timestamp_ms,raw_adc,emg_voltage_V,rms_V,ratio,state
27167,856,0.0133754,0.0213624,1.89962,flex
27170,2316,0.0361886,0.0223386,1.98644,flex
27173,656,0.0102503,0.0218933,1.94684,flex
27176,701,0.0109535,0.0214791,1.91,flex
27179,687,0.0107347,0.0210724,1.87383,flex
27182,1891,0.0295478,0.0215753,1.91856,flex
27185,1336,0.0208756,0.0215409,1.9155,flex
27188,2443,0.038173,0.0226643,2.01539,flex
27191,753,0.011766,0.0222465,1.97824,flex
27195,538,0.00840651,0.0217645,1.93539,flex
27197,1007,0.0157349,0.0215033,1.91215,flex
27201,1219,0.0190475,0.0213872,1.90183,flex
27204,623,0.00973467,0.020959,1.86375,flex
27207,1014,0.0158442,0.0207332,1.84368,flex
27210,1157,0.0180787,0.0206086,1.8326,flex
27217,857,0.013391,0.0203087,1.80593,flex
27220,719,0.0112347,0.0199533,1.77432,flex
27223,649,0.0101409,0.0195798,1.74111,flex
27226,724,0.0113128,0.019251,1.71187,flex
27229,756,0.0118129,0.0189485,1.68498,flex
27232,637,0.00995343,0.0186024,1.65419,flex
27236,826,0.0129066,0.0183596,1.63261,flex
27239,1089,0.0170161,0.0182948,1.62684,flex
27242,1282,0.0200319,0.0183855,1.63491,flex
27245,1837,0.028704,0.0190348,1.69264,flex
27248,606,0.00946904,0.0186732,1.66049,flex
27251,565,0.0088284,0.0183071,1.62794,flex
27256,1608,0.0251258,0.0187072,1.66351,flex
27259,2051,0.0320479,0.0195912,1.74212,flex
27262,2858,0.0446576,0.0215485,1.91618,flex
27265,1183,0.0184849,0.0214058,1.90348,flex
27268,674,0.0105316,0.0209962,1.86707,flex
27271,580,0.00906278,0.0205647,1.82869,flex
27276,877,0.0137035,0.0202768,1.80309,flex
27279,518,0.008094,0.0198461,1.76479,flex
27282,966,0.0150942,0.0196359,1.7461,flex
27284,560,0.00875027,0.0192384,1.71075,flex
27287,566,0.00884402,0.0188553,1.67668,flex
27292,827,0.0129223,0.0186036,1.65431,flex
27294,532,0.00831275,0.0182276,1.62087,flex
27297,552,0.00862526,0.0178704,1.58911,flex
27300,539,0.00842213,0.0175195,1.5579,flex
27303,681,0.010641,0.0172408,1.53312,flex
27306,666,0.0104066,0.0169646,1.50856,flex
27309,684,0.0106878,0.0167069,1.48564,rest
27312,1016,0.0158755,0.0166663,1.48203,rest
27315,552,0.00862526,0.0163584,1.45465,rest
27318,974,0.0152192,0.0163033,1.44976,rest
27321,1694,0.0264696,0.016957,1.50788,flex
27324,1058,0.0165318,0.016936,1.50602,flex
27327,1285,0.0200787,0.0171069,1.52121,flex
27330,1461,0.0228288,0.0174376,1.55062,flex
27333,727,0.0113597,0.0171849,1.52814,flex
27336,648,0.0101253,0.0169021,1.503,flex
27339,1082,0.0169068,0.0169023,1.50302,flex
27342,546,0.00853151,0.0165844,1.47475,rest
27344,571,0.00892215,0.0162871,1.44831,rest
27347,548,0.00856276,0.0159898,1.42187,rest
27350,650,0.0101566,0.0157495,1.40051,rest
27353,896,0.0140004,0.0156667,1.39314,rest
27356,590,0.00921903,0.0154085,1.37018,rest
27359,685,0.0107035,0.0152079,1.35234,rest
27361,1563,0.0244226,0.0157968,1.40471,rest
27364,1038,0.0162192,0.0158182,1.40661,rest
27367,1441,0.0225163,0.0162189,1.44225,rest
27370,749,0.0117035,0.0160234,1.42486,rest
27372,1266,0.0197819,0.016232,1.44341,rest
27375,2283,0.035673,0.0177181,1.57556,flex
27378,919,0.0143598,0.0175655,1.56199,flex
27381,2755,0.0430482,0.0196412,1.74657,flex
27383,1457,0.0227663,0.0198091,1.7615,flex
27386,616,0.00962529,0.0194272,1.72754,flex
27389,1017,0.0158911,0.0192658,1.71319,flex
27392,933,0.0145786,0.0190588,1.69478,flex
27394,595,0.00929716,0.0186922,1.66218,flex
27397,562,0.00878152,0.0183244,1.62948,flex
27399,588,0.00918778,0.0179782,1.59869,flex
27402,531,0.00829713,0.0176209,1.56692,flex
27405,534,0.008344,0.0172758,1.53623,flex
27408,864,0.0135004,0.0171068,1.5212,flex
27410,597,0.00932841,0.0168036,1.49424,rest
27413,556,0.00868777,0.016493,1.46662,rest
27415,754,0.0117816,0.0162898,1.44855,rest
27418,674,0.0105316,0.016051,1.42732,rest
27421,972,0.015188,0.016009,1.42358,rest
27423,865,0.013516,0.0158936,1.41332,rest
27426,726,0.0113441,0.0156975,1.39588,rest
27429,737,0.011516,0.0155152,1.37967,rest
27431,1101,0.0172036,0.015604,1.38756,rest
27434,2052,0.0320635,0.0168141,1.49517,rest
27436,1659,0.0259227,0.0173832,1.54578,flex
27439,1107,0.0172974,0.0173789,1.5454,flex
27442,764,0.0119379,0.0171479,1.52486,flex
27445,1118,0.0174693,0.0171642,1.5263,flex
27447,752,0.0117504,0.0169346,1.50589,flex
27450,1132,0.017688,0.0169731,1.50931,flex
27453,607,0.00948467,0.0166787,1.48313,rest
27456,656,0.0102503,0.0164172,1.45988,rest
27458,586,0.00915653,0.0161319,1.43451,rest
27461,578,0.00903153,0.0158526,1.40968,rest
27464,748,0.0116879,0.0156707,1.3935,rest
27466,620,0.0096878,0.0154268,1.37181,rest
27469,864,0.0135004,0.0153362,1.36375,rest
27471,913,0.0142661,0.0152845,1.35915,rest
27474,550,0.00859401,0.0150209,1.33571,rest
27477,542,0.00846901,0.0147625,1.31274,rest
27480,1135,0.0177349,0.0149252,1.32721,rest
27482,578,0.00903153,0.0146868,1.30601,rest
27485,573,0.0089534,0.0144542,1.28533,rest
27487,626,0.00978155,0.014257,1.26779,rest
27490,1231,0.019235,0.0145464,1.29352,rest
27493,681,0.010641,0.0143764,1.2784,rest
27495,868,0.0135629,0.0143368,1.27488,rest
27498,1240,0.0193756,0.01463,1.30096,rest
27501,635,0.00992218,0.0144312,1.28327,rest
27503,891,0.0139223,0.0144061,1.28105,rest
27506,526,0.008219,0.0141611,1.25926,rest
27509,853,0.0133285,0.0141207,1.25566,rest
27511,621,0.00970342,0.0139331,1.23898,rest
27514,630,0.00984405,0.0137575,1.22337,rest
27517,628,0.0098128,0.0135875,1.20825,rest
27519,535,0.00835963,0.0133748,1.18933,rest
27522,1060,0.016563,0.013552,1.2051,rest
27525,534,0.008344,0.01334,1.18624,rest
27527,570,0.00890652,0.0131538,1.16969,rest
27530,1351,0.02111,0.0136621,1.21489,rest
27533,551,0.00860964,0.0134546,1.19644,rest
27535,851,0.0132973,0.0134468,1.19574,rest
27538,583,0.00910965,0.0132637,1.17946,rest
27541,854,0.0133442,0.0132677,1.17982,rest
27543,742,0.0115941,0.0131891,1.17282,rest
27546,559,0.00873464,0.0130027,1.15625,rest
27548,984,0.0153755,0.0131315,1.1677,rest
27551,581,0.0090784,0.012959,1.15236,rest
27554,661,0.0103284,0.0128403,1.1418,rest
27556,541,0.00845338,0.0126571,1.12552,rest
27559,538,0.00840651,0.012479,1.10968,rest
27561,556,0.00868777,0.0123172,1.09529,rest
27564,873,0.013641,0.0123867,1.10147,rest
27567,1053,0.0164536,0.0126212,1.12233,rest
27569,895,0.0139848,0.0126929,1.1287,rest
27572,1495,0.0233601,0.013429,1.19416,rest
27575,942,0.0147192,0.0134965,1.20016,rest
27577,820,0.0128129,0.0134631,1.19719,rest
27580,538,0.00840651,0.0132562,1.17879,rest
27582,1051,0.0164224,0.0134322,1.19444,rest
27585,554,0.00865651,0.0132344,1.17685,rest
27587,1894,0.0295947,0.0144977,1.28919,rest
27591,618,0.00965654,0.0142947,1.27114,rest
27593,1607,0.0251101,0.0150215,1.33577,rest
27596,612,0.00956279,0.0147965,1.31576,rest
27599,563,0.00879714,0.0145554,1.29432,rest
27601,672,0.0105003,0.0143798,1.27871,rest
27604,846,0.0132192,0.014324,1.27375,rest
27606,1269,0.0198287,0.0146485,1.3026,rest
27609,558,0.00871902,0.0144101,1.2814,rest
27612,562,0.00878152,0.0141818,1.2611,rest
27614,565,0.0088284,0.013963,1.24164,rest
27617,839,0.0131098,0.0139215,1.23796,rest
27619,720,0.0112503,0.0138003,1.22717,rest
27622,810,0.0126566,0.0137453,1.22229,rest
27625,792,0.0123754,0.0136801,1.21649,rest
27628,844,0.0131879,0.0136559,1.21434,rest
27630,767,0.0119847,0.0135772,1.20734,rest
27633,667,0.0104222,0.0134371,1.19488,rest
27635,1382,0.0215944,0.0139586,1.24126,rest
27638,536,0.00837526,0.0137335,1.22123,rest
27641,542,0.00846901,0.013519,1.20216,rest
27643,544,0.00850026,0.0133131,1.18385,rest
27646,812,0.0126879,0.0132825,1.18113,rest
27649,549,0.00857839,0.0130876,1.1638,rest
27651,687,0.0107347,0.01298,1.15424,rest
27654,2014,0.0314697,0.0144767,1.28732,rest
27657,587,0.00917216,0.0142584,1.26791,rest
27659,913,0.0142661,0.0142588,1.26795,rest
27662,1507,0.0235476,0.0148618,1.32157,rest
27664,755,0.0117972,0.0147237,1.30929,rest
27667,1361,0.0212663,0.0151182,1.34437,rest
27670,661,0.0103284,0.0149153,1.32633,rest
27672,1010,0.0157817,0.0149598,1.33028,rest
27675,555,0.00867214,0.0147094,1.30802,rest
27678,565,0.0088284,0.0144722,1.28693,rest
27680,536,0.00837526,0.0142296,1.26535,rest
27683,556,0.00868777,0.0140047,1.24535,rest
27685,560,0.00875027,0.0137896,1.22622,rest
27688,521,0.00814087,0.0135631,1.20608,rest
27691,618,0.00965654,0.0133949,1.19112,rest
27694,1377,0.0215163,0.013914,1.23728,rest
27696,1418,0.0221569,0.0144383,1.28391,rest
27699,1705,0.0266414,0.0152817,1.35891,rest
27701,828,0.0129379,0.0151731,1.34925,rest
27704,635,0.00992218,0.0149544,1.3298,rest
27707,1211,0.0189225,0.0151775,1.34964,rest
27710,541,0.00845338,0.0149135,1.32616,rest
27713,559,0.00873464,0.0146665,1.3042,rest
27715,2802,0.0437826,0.0173262,1.54071,flex
27718,2348,0.0366886,0.0187747,1.66952,flex
27720,4212,0.0658145,0.0234828,2.08818,flex
27723,1687,0.0263602,0.023635,2.10171,flex
27726,1013,0.0158286,0.0233069,2.07253,flex
27728,1144,0.0178755,0.0230657,2.05109,flex
27731,924,0.0144379,0.0227123,2.01966,flex
