timestamp_ms,raw_adc,emg_voltage_V,rms_V,ratio,state
4620,850,0.0132817,0.0131453,1.01755,rest
4622,845,0.0132035,0.0131482,1.01777,rest
4627,842,0.0131567,0.0131487,1.0178,rest
4629,832,0.0130004,0.0131413,1.01723,rest
4632,841,0.013141,0.0131413,1.01723,rest
4635,835,0.0130473,0.0131366,1.01687,rest
4637,841,0.013141,0.0131368,1.01689,rest
4640,832,0.0130004,0.01313,1.01636,rest
4643,835,0.0130473,0.0131259,1.01604,rest
4645,833,0.013016,0.0131204,1.01562,rest
4648,832,0.0130004,0.0131145,1.01516,rest
4651,847,0.0132348,0.0131205,1.01562,rest
4653,835,0.0130473,0.0131168,1.01534,rest
4656,845,0.0132035,0.0131212,1.01568,rest
4659,845,0.0132035,0.0131253,1.016,rest
4661,844,0.0131879,0.0131285,1.01624,rest
4664,864,0.0135004,0.0131473,1.0177,rest
4667,862,0.0134692,0.0131636,1.01896,rest
4669,828,0.0129379,0.0131524,1.01809,rest
4672,840,0.0131254,0.013151,1.01799,rest
4674,835,0.0130473,0.0131459,1.01759,rest
4677,851,0.0132973,0.0131535,1.01818,rest
4680,837,0.0130785,0.0131497,1.01789,rest
4683,834,0.0130316,0.0131439,1.01743,rest
4685,841,0.013141,0.0131437,1.01742,rest
4688,852,0.0133129,0.0131522,1.01808,rest
4690,829,0.0129535,0.0131424,1.01732,rest
4693,859,0.0134223,0.0131565,1.01841,rest
4696,832,0.0130004,0.0131487,1.01781,rest
4699,837,0.0130785,0.0131452,1.01754,rest
4701,844,0.0131879,0.0131474,1.0177,rest
4704,850,0.0132817,0.0131541,1.01823,rest
4706,843,0.0131723,0.013155,1.0183,rest
4709,843,0.0131723,0.0131559,1.01836,rest
4712,846,0.0132192,0.0131591,1.01861,rest
4714,840,0.0131254,0.0131574,1.01848,rest
4717,845,0.0132035,0.0131597,1.01866,rest
4720,839,0.0131098,0.0131572,1.01847,rest
4722,848,0.0132504,0.0131619,1.01883,rest
4725,834,0.0130316,0.0131554,1.01833,rest
4728,832,0.0130004,0.0131477,1.01773,rest
4730,841,0.013141,0.0131474,1.0177,rest
4733,831,0.0129848,0.0131393,1.01708,rest
4736,843,0.0131723,0.0131409,1.01721,rest
4738,843,0.0131723,0.0131425,1.01733,rest
4741,834,0.0130316,0.013137,1.0169,rest
4744,837,0.0130785,0.0131341,1.01667,rest
4746,830,0.0129691,0.0131259,1.01604,rest
4749,849,0.013266,0.0131329,1.01658,rest
4752,843,0.0131723,0.0131349,1.01674,rest
4754,847,0.0132348,0.0131399,1.01713,rest
4757,845,0.0132035,0.0131431,1.01737,rest
4760,832,0.0130004,0.013136,1.01682,rest
4762,847,0.0132348,0.0131409,1.01721,rest
4765,843,0.0131723,0.0131425,1.01733,rest
4767,842,0.0131567,0.0131432,1.01738,rest
4770,841,0.013141,0.0131431,1.01737,rest
4773,842,0.0131567,0.0131438,1.01743,rest
4775,842,0.0131567,0.0131444,1.01748,rest
4778,846,0.0132192,0.0131482,1.01777,rest
4781,852,0.0133129,0.0131565,1.01841,rest
4783,843,0.0131723,0.0131573,1.01847,rest
4786,829,0.0129535,0.0131471,1.01769,rest
4788,855,0.0133598,0.0131579,1.01852,rest
4791,847,0.0132348,0.0131617,1.01881,rest
4794,835,0.0130473,0.013156,1.01837,rest
4796,840,0.0131254,0.0131545,1.01825,rest
4799,844,0.0131879,0.0131562,1.01838,rest
4802,845,0.0132035,0.0131585,1.01857,rest
4804,824,0.0128754,0.0131445,1.01748,rest
4807,819,0.0127973,0.0131274,1.01616,rest
4810,834,0.0130316,0.0131226,1.01579,rest
4812,832,0.0130004,0.0131165,1.01532,rest
4815,839,0.0131098,0.0131162,1.01529,rest
4818,844,0.0131879,0.0131198,1.01557,rest
4820,842,0.0131567,0.0131216,1.01571,rest
4823,838,0.0130942,0.0131203,1.0156,rest
4825,839,0.0131098,0.0131197,1.01556,rest
4828,823,0.0128598,0.0131069,1.01457,rest
4831,844,0.0131879,0.0131109,1.01488,rest
4833,844,0.0131879,0.0131148,1.01518,rest
4836,834,0.0130316,0.0131106,1.01486,rest
4838,847,0.0132348,0.0131169,1.01534,rest
4841,839,0.0131098,0.0131165,1.01532,rest
4844,832,0.0130004,0.0131107,1.01487,rest
4847,836,0.0130629,0.0131083,1.01468,rest
4849,837,0.0130785,0.0131069,1.01457,rest
4852,850,0.0132817,0.0131157,1.01525,rest
4854,867,0.0135473,0.0131376,1.01695,rest
4857,828,0.0129379,0.0131277,1.01618,rest
4860,826,0.0129066,0.0131167,1.01533,rest
4863,839,0.0131098,0.0131163,1.0153,rest
4865,847,0.0132348,0.0131223,1.01576,rest
4868,831,0.0129848,0.0131155,1.01523,rest
4870,845,0.0132035,0.0131199,1.01558,rest
4873,837,0.0130785,0.0131178,1.01542,rest
4876,832,0.0130004,0.013112,1.01496,rest
4878,849,0.013266,0.0131197,1.01556,rest
4881,857,0.013391,0.0131334,1.01662,rest
4884,854,0.0133442,0.013144,1.01744,rest
4886,857,0.013391,0.0131565,1.01841,rest
4889,853,0.0133285,0.0131651,1.01908,rest
4892,846,0.0132192,0.0131678,1.01929,rest
4894,849,0.013266,0.0131728,1.01967,rest
4897,833,0.013016,0.013165,1.01907,rest
4900,831,0.0129848,0.013156,1.01837,rest
4902,879,0.0137348,0.0131856,1.02066,rest
4905,834,0.0130316,0.0131779,1.02007,rest
4907,839,0.0131098,0.0131745,1.01981,rest
4910,837,0.0130785,0.0131697,1.01943,rest
4913,849,0.013266,0.0131746,1.01981,rest
4916,845,0.0132035,0.013176,1.01992,rest
4918,843,0.0131723,0.0131758,1.01991,rest
4921,847,0.0132348,0.0131788,1.02014,rest
4923,826,0.0129066,0.0131653,1.01909,rest
4926,834,0.0130316,0.0131587,1.01858,rest
4929,834,0.0130316,0.0131523,1.01809,rest
4932,845,0.0132035,0.0131549,1.01829,rest
4935,837,0.0130785,0.0131511,1.01799,rest
4937,844,0.0131879,0.0131529,1.01813,rest
4940,829,0.0129535,0.013143,1.01737,rest
4943,841,0.013141,0.0131429,1.01736,rest
4945,831,0.0129848,0.0131351,1.01675,rest
4948,845,0.0132035,0.0131385,1.01702,rest
4951,840,0.0131254,0.0131378,1.01697,rest
4953,841,0.013141,0.013138,1.01698,rest
4956,842,0.0131567,0.0131389,1.01705,rest
4958,830,0.0129691,0.0131305,1.0164,rest
4961,850,0.0132817,0.0131381,1.01699,rest
4964,850,0.0132817,0.0131453,1.01754,rest
4967,839,0.0131098,0.0131435,1.01741,rest
4969,867,0.0135473,0.013164,1.01899,rest
4972,844,0.0131879,0.0131652,1.01909,rest
4974,842,0.0131567,0.0131648,1.01905,rest
4977,848,0.0132504,0.0131691,1.01938,rest
4980,858,0.0134067,0.0131811,1.02031,rest
4982,843,0.0131723,0.0131806,1.02028,rest
4985,841,0.013141,0.0131786,1.02012,rest
4988,833,0.013016,0.0131706,1.0195,rest
4990,829,0.0129535,0.0131598,1.01867,rest
4993,836,0.0130629,0.013155,1.01829,rest
4996,827,0.0129223,0.0131434,1.0174,rest
4998,837,0.0130785,0.0131402,1.01715,rest
5001,848,0.0132504,0.0131457,1.01758,rest
5003,833,0.013016,0.0131393,1.01708,rest
5006,845,0.0132035,0.0131425,1.01733,rest
5009,829,0.0129535,0.0131331,1.0166,rest
5012,842,0.0131567,0.0131343,1.01669,rest
5014,840,0.0131254,0.0131338,1.01666,rest
5017,853,0.0133285,0.0131436,1.01742,rest
5019,866,0.0135317,0.0131633,1.01894,rest
5022,841,0.013141,0.0131622,1.01885,rest
